"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","40","05","00","03","00","04","00","01","00",2007,52,2007-12-22,2007-12-28
"2","Gampaha","30","03","00","02","00","01","00","01","00",2007,52,2007-12-22,2007-12-28
"3","Kalutara","16","05","00","02","00","18","00","00","00",2007,52,2007-12-22,2007-12-28
"4","Kandy","06","01","00","00","00","02","00","03","00",2007,52,2007-12-22,2007-12-28
"5","Matale","03","00","00","01","00","12","00","01","00",2007,52,2007-12-22,2007-12-28
"6","NuwaraEliya","00","01","00","00","00","00","02","01","00",2007,52,2007-12-22,2007-12-28
"7","Galle","01","01","00","00","02","03","00","01","00",2007,52,2007-12-22,2007-12-28
"8","Hambanthota","04","02","00","02","00","01","01","00","00",2007,52,2007-12-22,2007-12-28
"9","Matara","03","02","00","02","00","04","03","00","00",2007,52,2007-12-22,2007-12-28
"10","Jaffna","05","02","00","01","02","00","05","01","00",2007,52,2007-12-22,2007-12-28
"11","Kilinochchi","00","00","00","01","00","00","00","00","00",2007,52,2007-12-22,2007-12-28
"12","Mannar","00","00","00","04","00","00","00","00","00",2007,52,2007-12-22,2007-12-28
"13","Vavuniya","01","03","00","00","00","00","00","00","00",2007,52,2007-12-22,2007-12-28
"14","Mullaitivu","00","00","00","00","00","00","00","00","00",2007,52,2007-12-22,2007-12-28
"15","Batticaloa","00","00","01","00","00","00","00","02","01",2007,52,2007-12-22,2007-12-28
"16","Ampara","00","15","00","00","00","00","00","00","00",2007,52,2007-12-22,2007-12-28
"17","Trincomalee","01","11","00","00","00","00","02","03","00",2007,52,2007-12-22,2007-12-28
"18","Kurunagala","18","08","00","01","00","03","01","04","00",2007,52,2007-12-22,2007-12-28
"19","Puttalam","31","01","00","03","00","00","02","01","00",2007,52,2007-12-22,2007-12-28
"20","Anuradhapura","18","01","00","00","00","00","00","02","00",2007,52,2007-12-22,2007-12-28
"21","Polonnaruwa","01","00","00","00","00","00","00","00","00",2007,52,2007-12-22,2007-12-28
"22","Badulla","05","16","00","02","00","00","00","03","00",2007,52,2007-12-22,2007-12-28
"23","Monaragala","03","07","00","03","01","01","00","00","00",2007,52,2007-12-22,2007-12-28
"24","Ratnapura","04","04","00","01","00","00","00","00","00",2007,52,2007-12-22,2007-12-28
"25","Kegalle","00","02","00","00","00","00","00","03","00",2007,52,2007-12-22,2007-12-28
"26","Kalmune","00","01","01","00","00","00","00","00","00",2007,52,2007-12-22,2007-12-28
