"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","18","03","00","02","00","06","00","01","00",2008,23,2008-05-31,2008-06-06
"2","Gampaha","21","04","01","00","00","07","00","01","02",2008,23,2008-05-31,2008-06-06
"3","Kalutara","09","06","00","00","00","16","00","00","00",2008,23,2008-05-31,2008-06-06
"4","Kandy","03","05","00","02","00","21","00","00","00",2008,23,2008-05-31,2008-06-06
"5","Matale","01","03","01","00","00","26","00","00","00",2008,23,2008-05-31,2008-06-06
"6","NuwaraEliya","00","04","00","00","00","02","00","05","00",2008,23,2008-05-31,2008-06-06
"7","Galle","00","02","01","00","00","04","00","00","00",2008,23,2008-05-31,2008-06-06
"8","Hambanthota","01","02","00","00","00","04","00","00","00",2008,23,2008-05-31,2008-06-06
"9","Matara","07","05","00","00","00","00","03","00","00",2008,23,2008-05-31,2008-06-06
"10","Jaffna","01","02","00","05","00","00","01","01","00",2008,23,2008-05-31,2008-06-06
"11","Kilinochchi","00","02","00","00","00","00","00","00","00",2008,23,2008-05-31,2008-06-06
"12","Mannar","00","00","00","03","00","00","00","00","00",2008,23,2008-05-31,2008-06-06
"13","Vavuniya","00","00","00","00","00","00","00","00","00",2008,23,2008-05-31,2008-06-06
"14","Mullaitivu","00","00","00","00","00","00","00","00","00",2008,23,2008-05-31,2008-06-06
"15","Batticaloa","02","00","00","01","00","00","00","00","00",2008,23,2008-05-31,2008-06-06
"16","Ampara","02","01","00","00","00","00","00","00","00",2008,23,2008-05-31,2008-06-06
"17","Trincomalee","04","00","00","01","00","05","00","01","00",2008,23,2008-05-31,2008-06-06
"18","Kurunagala","05","03","00","01","01","16","00","03","00",2008,23,2008-05-31,2008-06-06
"19","Puttalam","05","02","02","03","00","03","02","00","00",2008,23,2008-05-31,2008-06-06
"20","Anuradhapura","00","01","00","00","00","14","00","00","00",2008,23,2008-05-31,2008-06-06
"21","Polonnaruwa","04","08","00","00","00","07","00","01","00",2008,23,2008-05-31,2008-06-06
"22","Badulla","00","14","00","04","00","05","03","02","00",2008,23,2008-05-31,2008-06-06
"23","Monaragala","02","08","00","00","00","02","03","00","00",2008,23,2008-05-31,2008-06-06
"24","Ratnapura","05","05","00","00","00","12","00","02","00",2008,23,2008-05-31,2008-06-06
"25","Kegalle","10","03","01","00","01","18","02","14","00",2008,23,2008-05-31,2008-06-06
"26","Kalmune","00","13","00","00","00","00","00","02","00",2008,23,2008-05-31,2008-06-06
