"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","99","1","0","2","2","8","0","0","0",2011,13,2011-03-26,2011-04-01
"2","Gampaha","18","3","0","0","0","11","0","0","0",2011,13,2011-03-26,2011-04-01
"3","Kalutara","2","0","0","0","0","1","0","0","0",2011,13,2011-03-26,2011-04-01
"4","Kandy","13","6","1","0","0","5","3","1","0",2011,13,2011-03-26,2011-04-01
"5","Matale","2","1","0","3","0","2","1","0","0",2011,13,2011-03-26,2011-04-01
"6","NuwaraEliya","5","8","0","0","0","1","0","0","0",2011,13,2011-03-26,2011-04-01
"7","Galle","9","1","1","0","0","6","1","0","0",2011,13,2011-03-26,2011-04-01
"8","Hambanthota","4","1","0","0","1","18","1","0","0",2011,13,2011-03-26,2011-04-01
"9","Matara","5","0","0","0","0","10","1","0","0",2011,13,2011-03-26,2011-04-01
"10","Jaffna","0","2","0","0","0","0","0","0","0",2011,13,2011-03-26,2011-04-01
"11","Kilinochchi","0","0","0","0","0","0","0","0","0",2011,13,2011-03-26,2011-04-01
"12","Mannar","0","1","0","0","0","0","0","1","0",2011,13,2011-03-26,2011-04-01
"13","Vavuniya","2","0","0","0","0","0","0","0","0",2011,13,2011-03-26,2011-04-01
"14","Mullaitivu","0","0","0","0","0","0","0","0","0",2011,13,2011-03-26,2011-04-01
"15","Batticaloa","4","8","0","0","0","1","0","0","0",2011,13,2011-03-26,2011-04-01
"16","Ampara","0","0","0","1","0","2","0","0","0",2011,13,2011-03-26,2011-04-01
"17","Trincomalee","3","40","0","0","0","0","0","0","0",2011,13,2011-03-26,2011-04-01
"18","Kurunagala","4","1","0","2","0","9","1","0","0",2011,13,2011-03-26,2011-04-01
"19","Puttalam","1","2","0","0","0","1","0","0","0",2011,13,2011-03-26,2011-04-01
"20","Anuradhapura","1","0","0","0","0","2","0","0","0",2011,13,2011-03-26,2011-04-01
"21","Polonnaruwa","0","0","0","0","0","4","0","0","0",2011,13,2011-03-26,2011-04-01
"22","Badulla","0","1","1","0","0","1","0","1","0",2011,13,2011-03-26,2011-04-01
"23","Monaragala","1","0","0","0","0","2","1","1","0",2011,13,2011-03-26,2011-04-01
"24","Ratnapura","12","12","0","0","0","19","2","0","0",2011,13,2011-03-26,2011-04-01
"25","Kegalle","2","1","0","0","0","7","0","0","0",2011,13,2011-03-26,2011-04-01
"26","Kalmune","1","6","0","0","2","1","1","0","0",2011,13,2011-03-26,2011-04-01
