"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","110","3","0","3","1","5","0","7","0",2009,31,2009-07-25,2009-07-31
"2","Gampaha","110","0","0","0","0","4","0","12","0",2009,31,2009-07-25,2009-07-31
"3","Kalutara","12","3","0","0","0","1","0","2","0",2009,31,2009-07-25,2009-07-31
"4","Kandy","103","4","0","0","0","2","1","4","0",2009,31,2009-07-25,2009-07-31
"5","Matale","77","6","0","1","0","6","0","6","0",2009,31,2009-07-25,2009-07-31
"6","NuwaraEliya","13","6","0","1","0","1","0","3","0",2009,31,2009-07-25,2009-07-31
"7","Galle","25","8","0","0","0","3","2","3","0",2009,31,2009-07-25,2009-07-31
"8","Hambanthota","23","2","0","1","0","0","4","2","0",2009,31,2009-07-25,2009-07-31
"9","Matara","17","7","0","0","0","2","2","2","0",2009,31,2009-07-25,2009-07-31
"10","Jaffna","1","0","0","2","0","0","0","0","0",2009,31,2009-07-25,2009-07-31
"11","Kilinochchi","0","0","0","0","0","0","0","0","0",2009,31,2009-07-25,2009-07-31
"12","Mannar","0","0","0","2","0","0","0","3","0",2009,31,2009-07-25,2009-07-31
"13","Vavuniya","0","3","6","18","0","0","1","69","0",2009,31,2009-07-25,2009-07-31
"14","Mullaitivu","0","0","0","0","0","0","0","0","0",2009,31,2009-07-25,2009-07-31
"15","Batticaloa","10","1","0","0","0","0","0","0","0",2009,31,2009-07-25,2009-07-31
"16","Ampara","3","0","0","0","3","0","0","1","0",2009,31,2009-07-25,2009-07-31
"17","Trincomalee","3","3","0","0","0","0","2","0","0",2009,31,2009-07-25,2009-07-31
"18","Kurunagala","134","6","0","0","0","1","1","13","0",2009,31,2009-07-25,2009-07-31
"19","Puttalam","28","5","0","0","0","0","0","1","0",2009,31,2009-07-25,2009-07-31
"20","Anuradhapura","14","1","0","5","3","77","27","100","1",2009,31,2009-07-25,2009-07-31
"21","Polonnaruwa","6","0","0","0","0","0","7","2","0",2009,31,2009-07-25,2009-07-31
"22","Badulla","8","7","0","0","3","4","1","1","0",2009,31,2009-07-25,2009-07-31
"23","Monaragala","7","1","0","0","0","0","1","1","0",2009,31,2009-07-25,2009-07-31
"24","Ratnapura","64","1","0","1","0","4","0","2","0",2009,31,2009-07-25,2009-07-31
"25","Kegalle","37","2","0","0","0","4","0","0","0",2009,31,2009-07-25,2009-07-31
"26","Kalmune","5","0","0","0","0","0","0","2","0",2009,31,2009-07-25,2009-07-31
