"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","168","0","1","5","1","10","0","2","0",2011,50,2011-12-10,2011-12-16
"2","Gampaha","60","3","0","2","0","1","0","3","0",2011,50,2011-12-10,2011-12-16
"3","Kalutara","38","3","0","1","0","8","0","0","0",2011,50,2011-12-10,2011-12-16
"4","Kandy","57","3","0","0","0","8","1","3","0",2011,50,2011-12-10,2011-12-16
"5","Matale","14","5","0","0","0","0","0","0","0",2011,50,2011-12-10,2011-12-16
"6","NuwaraEliya","10","2","0","1","0","1","0","10","0",2011,50,2011-12-10,2011-12-16
"7","Galle","9","3","1","1","0","5","2","0","0",2011,50,2011-12-10,2011-12-16
"8","Hambanthota","6","4","0","0","1","2","1","1","0",2011,50,2011-12-10,2011-12-16
"9","Matara","11","0","0","0","0","8","0","0","0",2011,50,2011-12-10,2011-12-16
"10","Jaffna","13","18","0","19","0","0","25","0","0",2011,50,2011-12-10,2011-12-16
"11","Kilinochchi","1","1","0","2","0","0","0","0","0",2011,50,2011-12-10,2011-12-16
"12","Mannar","19","11","0","1","0","0","2","0","0",2011,50,2011-12-10,2011-12-16
"13","Vavuniya","0","0","0","1","0","3","0","0","0",2011,50,2011-12-10,2011-12-16
"14","Mullaitivu","0","0","0","0","0","1","0","0","0",2011,50,2011-12-10,2011-12-16
"15","Batticaloa","134","3","0","0","0","0","0","0","0",2011,50,2011-12-10,2011-12-16
"16","Ampara","1","4","0","1","0","2","0","0","0",2011,50,2011-12-10,2011-12-16
"17","Trincomalee","1","9","0","1","0","2","0","0","0",2011,50,2011-12-10,2011-12-16
"18","Kurunagala","18","4","1","0","3","5","1","1","0",2011,50,2011-12-10,2011-12-16
"19","Puttalam","18","4","0","0","0","0","0","0","0",2011,50,2011-12-10,2011-12-16
"20","Anuradhapura","4","2","0","0","1","2","0","0","0",2011,50,2011-12-10,2011-12-16
"21","Polonnaruwa","3","1","0","0","0","0","0","0","0",2011,50,2011-12-10,2011-12-16
"22","Badulla","7","6","0","1","0","2","0","2","0",2011,50,2011-12-10,2011-12-16
"23","Monaragala","7","1","0","0","0","5","0","0","0",2011,50,2011-12-10,2011-12-16
"24","Ratnapura","29","3","0","1","0","8","0","1","0",2011,50,2011-12-10,2011-12-16
"25","Kegalle","21","1","0","1","0","3","0","16","0",2011,50,2011-12-10,2011-12-16
"26","Kalmune","4","6","0","0","0","0","0","0","0",2011,50,2011-12-10,2011-12-16
