"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","49","10","0","0","0","16","1","0","0",2010,23,2010-06-05,2010-06-11
"2","Gampaha","33","3","0","1","0","1","0","0","0",2010,23,2010-06-05,2010-06-11
"3","Kalutara","45","5","1","0","0","5","0","1","0",2010,23,2010-06-05,2010-06-11
"4","Kandy","31","17","0","0","0","3","3","0","0",2010,23,2010-06-05,2010-06-11
"5","Matale","7","0","0","2","1","6","0","2","0",2010,23,2010-06-05,2010-06-11
"6","NuwaraEliya","0","3","0","6","0","0","1","0","0",2010,23,2010-06-05,2010-06-11
"7","Galle","25","4","0","0","2","2","0","1","0",2010,23,2010-06-05,2010-06-11
"8","Hambanthota","23","2","0","0","0","1","2","0","0",2010,23,2010-06-05,2010-06-11
"9","Matara","17","15","0","0","0","4","2","0","0",2010,23,2010-06-05,2010-06-11
"10","Jaffna","16","5","0","2","0","0","0","0","0",2010,23,2010-06-05,2010-06-11
"11","Kilinochchi","1","1","0","0","0","0","0","0","0",2010,23,2010-06-05,2010-06-11
"12","Mannar","3","1","0","3","1","0","0","0","0",2010,23,2010-06-05,2010-06-11
"13","Vavuniya","1","0","0","0","0","0","0","0","0",2010,23,2010-06-05,2010-06-11
"14","Mullaitivu","0","0","0","0","0","0","0","0","0",2010,23,2010-06-05,2010-06-11
"15","Batticaloa","17","1","0","0","3","0","0","0","0",2010,23,2010-06-05,2010-06-11
"16","Ampara","0","0","0","0","0","1","0","0","0",2010,23,2010-06-05,2010-06-11
"17","Trincomalee","3","0","0","0","0","0","0","0","0",2010,23,2010-06-05,2010-06-11
"18","Kurunagala","21","0","1","1","0","6","2","1","0",2010,23,2010-06-05,2010-06-11
"19","Puttalam","29","2","0","1","0","0","0","1","0",2010,23,2010-06-05,2010-06-11
"20","Anuradhapura","10","2","0","1","0","3","1","0","0",2010,23,2010-06-05,2010-06-11
"21","Polonnaruwa","20","6","0","0","0","1","0","0","0",2010,23,2010-06-05,2010-06-11
"22","Badulla","10","1","0","3","0","1","0","6","0",2010,23,2010-06-05,2010-06-11
"23","Monaragala","27","6","0","1","0","0","0","3","0",2010,23,2010-06-05,2010-06-11
"24","Ratnapura","96","24","0","1","0","10","2","2","0",2010,23,2010-06-05,2010-06-11
"25","Kegalle","32","11","1","0","0","4","0","2","0",2010,23,2010-06-05,2010-06-11
"26","Kalmune","0","3","0","0","0","0","0","0","0",2010,23,2010-06-05,2010-06-11
