"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","81","4","0","1","0","17","1","1","0",2011,12,2011-03-19,2011-03-25
"2","Gampaha","25","2","0","1","0","11","1","0","0",2011,12,2011-03-19,2011-03-25
"3","Kalutara","10","1","0","0","0","11","0","1","0",2011,12,2011-03-19,2011-03-25
"4","Kandy","4","5","0","0","20","6","2","1","0",2011,12,2011-03-19,2011-03-25
"5","Matale","7","5","0","0","0","4","0","0","0",2011,12,2011-03-19,2011-03-25
"6","NuwaraEliya","0","7","0","0","0","1","0","0","0",2011,12,2011-03-19,2011-03-25
"7","Galle","10","2","0","0","1","25","11","6","0",2011,12,2011-03-19,2011-03-25
"8","Hambanthota","6","0","0","0","0","11","4","0","0",2011,12,2011-03-19,2011-03-25
"9","Matara","7","3","0","0","0","9","0","0","0",2011,12,2011-03-19,2011-03-25
"10","Jaffna","1","4","0","3","0","0","2","0","1",2011,12,2011-03-19,2011-03-25
"11","Kilinochchi","0","0","0","0","0","0","0","0","0",2011,12,2011-03-19,2011-03-25
"12","Mannar","0","1","0","0","0","0","0","0","0",2011,12,2011-03-19,2011-03-25
"13","Vavuniya","1","0","1","1","0","1","0","0","0",2011,12,2011-03-19,2011-03-25
"14","Mullaitivu","0","0","0","0","0","0","0","0","0",2011,12,2011-03-19,2011-03-25
"15","Batticaloa","19","10","0","1","1","1","0","0","0",2011,12,2011-03-19,2011-03-25
"16","Ampara","0","1","0","0","0","0","0","0","0",2011,12,2011-03-19,2011-03-25
"17","Trincomalee","7","28","0","0","0","4","0","0","0",2011,12,2011-03-19,2011-03-25
"18","Kurunagala","18","1","0","2","0","47","6","0","0",2011,12,2011-03-19,2011-03-25
"19","Puttalam","6","1","0","1","0","6","0","0","0",2011,12,2011-03-19,2011-03-25
"20","Anuradhapura","1","2","0","0","1","17","1","1","0",2011,12,2011-03-19,2011-03-25
"21","Polonnaruwa","1","0","0","0","0","1","0","0","0",2011,12,2011-03-19,2011-03-25
"22","Badulla","4","1","1","2","0","3","1","1","0",2011,12,2011-03-19,2011-03-25
"23","Monaragala","8","0","0","1","1","5","4","2","0",2011,12,2011-03-19,2011-03-25
"24","Ratnapura","7","5","0","0","0","8","0","0","0",2011,12,2011-03-19,2011-03-25
"25","Kegalle","9","5","0","2","0","16","0","1","0",2011,12,2011-03-19,2011-03-25
"26","Kalmune","0","2","0","0","0","0","0","0","0",2011,12,2011-03-19,2011-03-25
