"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","171","3","0","5","1","0","0","1","0",2012,6,2012-02-04,2012-02-10
"2","Gampaha","104","0","0","3","0","1","1","3","0",2012,6,2012-02-04,2012-02-10
"3","Kalutara","35","0","1","0","0","1","1","0","0",2012,6,2012-02-04,2012-02-10
"4","Kandy","40","0","0","2","0","1","1","0","0",2012,6,2012-02-04,2012-02-10
"5","Matale","9","2","1","1","0","0","0","0","0",2012,6,2012-02-04,2012-02-10
"6","NuwaraEliya","2","1","0","1","0","1","1","1","0",2012,6,2012-02-04,2012-02-10
"7","Galle","31","2","0","0","3","3","1","0","0",2012,6,2012-02-04,2012-02-10
"8","Hambanthota","10","1","0","0","0","0","2","0","0",2012,6,2012-02-04,2012-02-10
"9","Matara","31","1","1","1","0","2","3","11","0",2012,6,2012-02-04,2012-02-10
"10","Jaffna","13","2","2","13","0","0","10","0","0",2012,6,2012-02-04,2012-02-10
"11","Kilinochchi","1","0","0","1","0","1","0","0","0",2012,6,2012-02-04,2012-02-10
"12","Mannar","0","0","0","0","0","0","4","0","0",2012,6,2012-02-04,2012-02-10
"13","Vavuniya","1","0","0","0","0","1","0","0","0",2012,6,2012-02-04,2012-02-10
"14","Mullaitivu","0","0","0","0","0","0","2","0","0",2012,6,2012-02-04,2012-02-10
"15","Batticaloa","31","3","0","0","0","0","0","0","0",2012,6,2012-02-04,2012-02-10
"16","Ampara","1","0","0","0","0","1","0","0","0",2012,6,2012-02-04,2012-02-10
"17","Trincomalee","2","4","0","1","0","0","0","1","0",2012,6,2012-02-04,2012-02-10
"18","Kurunagala","24","2","0","1","2","1","0","0","1",2012,6,2012-02-04,2012-02-10
"19","Puttalam","19","1","0","0","0","1","0","0","0",2012,6,2012-02-04,2012-02-10
"20","Anuradhapura","5","2","0","0","0","1","2","0","0",2012,6,2012-02-04,2012-02-10
"21","Polonnaruwa","7","3","0","0","0","0","0","0","0",2012,6,2012-02-04,2012-02-10
"22","Badulla","4","5","0","0","0","1","1","0","0",2012,6,2012-02-04,2012-02-10
"23","Monaragala","6","0","0","0","0","0","1","0","0",2012,6,2012-02-04,2012-02-10
"24","Ratnapura","27","7","0","2","0","5","1","2","0",2012,6,2012-02-04,2012-02-10
"25","Kegalle","21","6","0","0","0","0","4","7","0",2012,6,2012-02-04,2012-02-10
"26","Kalmune","16","1","0","1","1","0","0","0","0",2012,6,2012-02-04,2012-02-10
