"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","24","16","02","03","01","15","00","03","00",2008,34,2008-08-16,2008-08-22
"2","Gampaha","15","02","01","01","00","39","01","01","00",2008,34,2008-08-16,2008-08-22
"3","Kalutara","06","08","00","01","00","08","00","01","00",2008,34,2008-08-16,2008-08-22
"4","Kandy","07","03","00","01","00","05","02","01","00",2008,34,2008-08-16,2008-08-22
"5","Matale","04","03","00","01","00","02","00","00","00",2008,34,2008-08-16,2008-08-22
"6","NuwaraEliya","01","03","00","01","06","00","00","02","00",2008,34,2008-08-16,2008-08-22
"7","Galle","01","04","00","00","00","05","00","00","00",2008,34,2008-08-16,2008-08-22
"8","Hambanthota","03","00","00","00","00","02","05","01","00",2008,34,2008-08-16,2008-08-22
"9","Matara","08","01","01","01","00","16","07","01","00",2008,34,2008-08-16,2008-08-22
"10","Jaffna","00","01","00","01","00","00","00","00","00",2008,34,2008-08-16,2008-08-22
"11","Kilinochchi","00","00","00","00","00","00","00","00","00",2008,34,2008-08-16,2008-08-22
"12","Mannar","00","00","00","00","00","00","00","00","00",2008,34,2008-08-16,2008-08-22
"13","Vavuniya","00","01","00","02","00","00","00","00","00",2008,34,2008-08-16,2008-08-22
"14","Mullaitivu","00","00","00","00","00","00","00","00","00",2008,34,2008-08-16,2008-08-22
"15","Batticaloa","00","02","00","00","00","00","00","01","00",2008,34,2008-08-16,2008-08-22
"16","Ampara","00","03","00","00","00","02","00","00","00",2008,34,2008-08-16,2008-08-22
"17","Trincomalee","00","02","00","00","00","01","00","00","00",2008,34,2008-08-16,2008-08-22
"18","Kurunagala","07","01","00","03","00","69","01","01","00",2008,34,2008-08-16,2008-08-22
"19","Puttalam","00","02","00","00","00","03","00","01","00",2008,34,2008-08-16,2008-08-22
"20","Anuradhapura","02","00","00","00","00","00","00","00","00",2008,34,2008-08-16,2008-08-22
"21","Polonnaruwa","00","05","00","00","05","00","00","00","00",2008,34,2008-08-16,2008-08-22
"22","Badulla","03","11","00","04","80","06","02","06","00",2008,34,2008-08-16,2008-08-22
"23","Monaragala","00","01","00","03","00","00","02","00","00",2008,34,2008-08-16,2008-08-22
"24","Ratnapura","05","08","01","00","00","00","00","01","00",2008,34,2008-08-16,2008-08-22
"25","Kegalle","03","03","00","01","00","15","02","02","00",2008,34,2008-08-16,2008-08-22
"26","Kalmune","00","08","00","00","01","00","00","00","00",2008,34,2008-08-16,2008-08-22
