"","Division","Dengue","Dysentery","Encephalitis","Enteric Fever","Food Poisioning","Leptospirosis","Typhus Fever","Viral Hepatistis","Human Rabies","Year","Week","StartDate","EndDate"
"1","Colombo","281","2","0","9","0","6","0","0","0",2011,49,2011-12-03,2011-12-09
"2","Gampaha","83","1","0","1","0","5","0","2","0",2011,49,2011-12-03,2011-12-09
"3","Kalutara","35","3","0","2","0","8","0","2","0",2011,49,2011-12-03,2011-12-09
"4","Kandy","52","6","0","1","0","6","0","3","0",2011,49,2011-12-03,2011-12-09
"5","Matale","7","5","0","0","0","1","0","1","0",2011,49,2011-12-03,2011-12-09
"6","NuwaraEliya","5","2","0","0","0","1","0","0","0",2011,49,2011-12-03,2011-12-09
"7","Galle","8","0","0","0","0","1","1","0","0",2011,49,2011-12-03,2011-12-09
"8","Hambanthota","6","2","0","0","0","1","1","0","0",2011,49,2011-12-03,2011-12-09
"9","Matara","36","3","0","1","1","4","1","1","0",2011,49,2011-12-03,2011-12-09
"10","Jaffna","10","6","0","9","0","1","6","1","0",2011,49,2011-12-03,2011-12-09
"11","Kilinochchi","0","0","0","2","0","0","0","0","0",2011,49,2011-12-03,2011-12-09
"12","Mannar","1","5","0","0","0","0","1","0","0",2011,49,2011-12-03,2011-12-09
"13","Vavuniya","1","0","0","0","0","1","0","0","0",2011,49,2011-12-03,2011-12-09
"14","Mullaitivu","0","1","0","0","0","0","0","0","0",2011,49,2011-12-03,2011-12-09
"15","Batticaloa","61","5","0","0","0","0","0","0","1",2011,49,2011-12-03,2011-12-09
"16","Ampara","3","9","0","1","0","1","0","1","0",2011,49,2011-12-03,2011-12-09
"17","Trincomalee","3","1","0","0","0","0","0","0","0",2011,49,2011-12-03,2011-12-09
"18","Kurunagala","22","7","0","1","0","5","0","2","0",2011,49,2011-12-03,2011-12-09
"19","Puttalam","13","3","0","0","0","0","1","1","0",2011,49,2011-12-03,2011-12-09
"20","Anuradhapura","4","2","0","0","0","4","0","0","0",2011,49,2011-12-03,2011-12-09
"21","Polonnaruwa","6","0","0","0","0","2","0","0","0",2011,49,2011-12-03,2011-12-09
"22","Badulla","15","5","0","1","0","0","2","0","0",2011,49,2011-12-03,2011-12-09
"23","Monaragala","6","1","0","3","0","0","0","0","0",2011,49,2011-12-03,2011-12-09
"24","Ratnapura","16","4","0","0","0","7","0","1","0",2011,49,2011-12-03,2011-12-09
"25","Kegalle","23","3","2","1","0","8","0","10","0",2011,49,2011-12-03,2011-12-09
"26","Kalmune","2","9","1","0","0","0","0","1","0",2011,49,2011-12-03,2011-12-09
